Ion = Chlorine    , Mass = 34.969
Tgt =  H (Solid), Density = .07 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
2.520E+04   1.724E+02  3.176E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.175E-01 
2.521E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.174E-01 
2.522E+04   1.724E+02  3.173E-01 
2.522E+04   1.724E+02  3.173E-01 
2.523E+04   1.724E+02  3.173E-01 
2.523E+04   1.724E+02  3.173E-01 
2.523E+04   1.724E+02  3.173E-01 
2.523E+04   1.724E+02  3.173E-01 
2.523E+04   1.724E+02  3.173E-01 
2.523E+04   1.724E+02  3.172E-01 
2.523E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.172E-01 
2.524E+04   1.724E+02  3.171E-01 
2.524E+04   1.724E+02  3.171E-01 
2.525E+04   1.724E+02  3.171E-01 
2.525E+04   1.724E+02  3.171E-01 
2.525E+04   1.724E+02  3.171E-01 
2.525E+04   1.724E+02  3.171E-01 
2.525E+04   1.724E+02  3.171E-01 
2.525E+04   1.724E+02  3.170E-01 
2.525E+04   1.724E+02  3.170E-01 
2.525E+04   1.724E+02  3.170E-01 
2.526E+04   1.724E+02  3.170E-01 
2.526E+04   1.724E+02  3.170E-01 
2.526E+04   1.724E+02  3.170E-01 
2.526E+04   1.724E+02  3.170E-01 
2.526E+04   1.724E+02  3.169E-01 
2.526E+04   1.724E+02  3.169E-01 
2.526E+04   1.724E+02  3.169E-01 
2.527E+04   1.724E+02  3.169E-01 
2.527E+04   1.724E+02  3.169E-01 
2.527E+04   1.724E+02  3.169E-01 
2.527E+04   1.724E+02  3.169E-01 
