NDF v10.0b 16Jan21 rev 16Jan21 run 08/08/2023 15:04:49 Filename: idff0102.datbatch idf_example3.spc
str idf_example3.str
file idf_example32.dat
geo idf_example32.geo
 channel data fit
  287  0.27932E+04  0.26464E+04
  288  0.27703E+04  0.26346E+04
  289  0.27486E+04  0.26259E+04
  290  0.27286E+04  0.26198E+04
  291  0.27106E+04  0.26157E+04
  292  0.26953E+04  0.26129E+04
  293  0.26829E+04  0.26110E+04
  294  0.26736E+04  0.26097E+04
  295  0.26674E+04  0.26086E+04
  296  0.26638E+04  0.26076E+04
  297  0.26623E+04  0.26066E+04
  298  0.26620E+04  0.26054E+04
  299  0.26619E+04  0.26041E+04
  300  0.26611E+04  0.26026E+04
  301  0.26588E+04  0.26011E+04
  302  0.26545E+04  0.25994E+04
  303  0.26481E+04  0.25977E+04
  304  0.26402E+04  0.25959E+04
  305  0.26316E+04  0.25939E+04
  306  0.26232E+04  0.25917E+04
  307  0.26161E+04  0.25890E+04
  308  0.26107E+04  0.25858E+04
  309  0.26074E+04  0.25816E+04
  310  0.26057E+04  0.25764E+04
  311  0.26052E+04  0.25698E+04
  312  0.26052E+04  0.25621E+04
  313  0.26050E+04  0.25533E+04
  314  0.26044E+04  0.25439E+04
  315  0.26033E+04  0.25344E+04
  316  0.26020E+04  0.25253E+04
  317  0.26007E+04  0.25172E+04
  318  0.25997E+04  0.25103E+04
  319  0.25993E+04  0.25046E+04
  320  0.25996E+04  0.25002E+04
  321  0.26004E+04  0.24967E+04
  322  0.26017E+04  0.24940E+04
  323  0.26032E+04  0.24918E+04
  324  0.26047E+04  0.24899E+04
  325  0.26061E+04  0.24882E+04
  326  0.26073E+04  0.24866E+04
  327  0.26084E+04  0.24850E+04
  328  0.26094E+04  0.24835E+04
  329  0.26101E+04  0.24820E+04
  330  0.26104E+04  0.24806E+04
  331  0.26100E+04  0.24791E+04
  332  0.26087E+04  0.24777E+04
  333  0.26065E+04  0.24763E+04
  334  0.26035E+04  0.24750E+04
  335  0.25999E+04  0.24736E+04
  336  0.25960E+04  0.24723E+04
  337  0.25920E+04  0.24710E+04
  338  0.25879E+04  0.24697E+04
  339  0.25837E+04  0.24684E+04
  340  0.25792E+04  0.24671E+04
  341  0.25742E+04  0.24657E+04
  342  0.25687E+04  0.24644E+04
  343  0.25628E+04  0.24631E+04
  344  0.25566E+04  0.24618E+04
  345  0.25504E+04  0.24605E+04
  346  0.25447E+04  0.24592E+04
  347  0.25397E+04  0.24579E+04
  348  0.25357E+04  0.24566E+04
  349  0.25328E+04  0.24553E+04
  350  0.25310E+04  0.24541E+04
  351  0.25300E+04  0.24529E+04
  352  0.25294E+04  0.24517E+04
  353  0.25285E+04  0.24504E+04
  354  0.25266E+04  0.24493E+04
  355  0.25234E+04  0.24481E+04
  356  0.25185E+04  0.24468E+04
  357  0.25124E+04  0.24456E+04
  358  0.25056E+04  0.24444E+04
  359  0.24991E+04  0.24432E+04
  360  0.24938E+04  0.24419E+04
  361  0.24904E+04  0.24407E+04
  362  0.24892E+04  0.24394E+04
  363  0.24903E+04  0.24382E+04
  364  0.24930E+04  0.24369E+04
  365  0.24966E+04  0.24357E+04
  366  0.25002E+04  0.24344E+04
  367  0.25031E+04  0.24332E+04
  368  0.25048E+04  0.24320E+04
  369  0.25049E+04  0.24308E+04
  370  0.25033E+04  0.24297E+04
